H	3	1024	"2023-10-20 13:41:01"	142	0.17
C	-7.018564	1.956729	   0.000000	"keV"
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	1
33	0
34	3
35	6
36	43
37	89
38	102
39	113
40	107
41	123
42	102
43	112
44	93
45	113
46	100
47	86
48	109
49	93
50	101
51	93
52	104
53	107
54	90
55	101
56	97
57	121
58	104
59	105
60	136
61	113
62	112
63	101
64	79
65	95
66	105
67	117
68	96
69	96
70	101
71	93
72	126
73	91
74	98
75	126
76	109
77	111
78	106
79	122
80	80
81	101
82	100
83	96
84	96
85	111
86	112
87	113
88	101
89	127
90	118
91	131
92	121
93	132
94	136
95	128
96	113
97	134
98	125
99	136
100	142
101	101
102	98
103	136
104	113
105	131
106	97
107	126
108	115
109	134
110	95
111	116
112	104
113	97
114	113
115	120
116	113
117	101
118	86
119	106
120	98
121	102
122	111
123	87
124	100
125	97
126	95
127	105
128	94
129	108
130	94
131	92
132	93
133	89
134	70
135	76
136	82
137	95
138	71
139	76
140	99
141	78
142	75
143	64
144	74
145	89
146	90
147	70
148	80
149	100
150	70
151	90
152	69
153	75
154	74
155	87
156	83
157	71
158	90
159	76
160	61
161	66
162	87
163	75
164	70
165	85
166	81
167	91
168	73
169	79
170	76
171	65
172	72
173	78
174	69
175	72
176	60
177	66
178	72
179	77
180	68
181	57
182	67
183	70
184	73
185	77
186	68
187	52
188	68
189	55
190	76
191	75
192	59
193	67
194	61
195	65
196	55
197	64
198	65
199	60
200	72
201	78
202	48
203	51
204	64
205	57
206	46
207	74
208	58
209	67
210	70
211	66
212	52
213	72
214	57
215	67
216	57
217	48
218	51
219	56
220	68
221	52
222	55
223	66
224	60
225	68
226	58
227	49
228	56
229	59
230	63
231	63
232	59
233	67
234	58
235	52
236	50
237	62
238	80
239	73
240	58
241	74
242	66
243	79
244	68
245	49
246	65
247	72
248	51
249	65
250	54
251	88
252	76
253	75
254	48
255	81
256	85
257	74
258	87
259	74
260	82
261	68
262	76
263	102
264	89
265	89
266	98
267	93
268	100
269	92
270	92
271	94
272	71
273	117
274	96
275	120
276	107
277	119
278	98
279	112
280	93
281	116
282	102
283	107
284	93
285	108
286	106
287	117
288	122
289	98
290	85
291	105
292	108
293	100
294	111
295	106
296	77
297	79
298	76
299	86
300	74
301	109
302	86
303	70
304	68
305	82
306	71
307	49
308	51
309	52
310	48
311	58
312	44
313	49
314	55
315	36
316	51
317	50
318	35
319	42
320	34
321	38
322	33
323	32
324	35
325	59
326	54
327	42
328	51
329	60
330	55
331	70
332	52
333	60
334	56
335	64
336	60
337	58
338	79
339	72
340	55
341	83
342	75
343	63
344	69
345	69
346	76
347	64
348	62
349	70
350	59
351	66
352	48
353	44
354	40
355	46
356	42
357	43
358	37
359	33
360	28
361	22
362	19
363	27
364	18
365	22
366	8
367	12
368	12
369	5
370	7
371	6
372	4
373	3
374	6
375	8
376	7
377	4
378	7
379	6
380	3
381	4
382	9
383	2
384	4
385	4
386	4
387	3
388	1
389	2
390	3
391	3
392	1
393	4
394	4
395	2
396	4
397	0
398	4
399	4
400	1
401	4
402	4
403	2
404	2
405	0
406	7
407	2
408	3
409	5
410	5
411	3
412	1
413	2
414	3
415	0
416	4
417	6
418	3
419	7
420	2
421	4
422	2
423	6
424	3
425	4
426	2
427	3
428	5
429	3
430	2
431	1
432	4
433	2
434	1
435	3
436	1
437	2
438	1
439	7
440	6
441	3
442	2
443	1
444	1
445	1
446	3
447	2
448	4
449	2
450	1
451	2
452	5
453	5
454	6
455	1
456	4
457	4
458	4
459	1
460	2
461	3
462	1
463	3
464	2
465	2
466	1
467	4
468	1
469	3
470	2
471	5
472	4
473	1
474	4
475	4
476	4
477	2
478	6
479	4
480	4
481	4
482	4
483	5
484	4
485	4
486	2
487	3
488	4
489	1
490	2
491	2
492	1
493	2
494	4
495	0
496	2
497	1
498	0
499	1
500	2
501	2
502	1
503	3
504	3
505	1
506	2
507	1
508	3
509	1
510	3
511	4
512	5
513	2
514	3
515	1
516	2
517	2
518	3
519	2
520	3
